,index_content,word,nature,content_type,index_word
602,18,字,n,pos,7
605,19,不错,a,pos,1
607,19,安装,v,pos,2
608,19,人员,n,pos,3
611,19,专业,n,pos,4
613,19,值得,v,pos,5
614,19,信赖,n,pos,6
617,20,家里,s,pos,1
621,20,挺好用,a,pos,2
625,20,在家,r,pos,3
627,20,安装,v,pos,4
629,20,很好,a,pos,5
631,21,装,v,pos,1
633,21,太阳能,n,pos,2
635,21,坏掉,v,pos,3
639,21,换,v,pos,4
641,21,电,n,pos,5
646,22,真心,d,pos,1
647,22,感觉,n,pos,2
648,22,不错,a,pos,3
650,22,装,v,pos,4
652,22,当晚,t,pos,5
653,22,三个,m,pos,6
655,22,冲凉,a,pos,7
657,22,热水,n,pos,8
658,22,没用,v,pos,9
661,22,好评,v,pos,10
662,23,真心,d,pos,1
663,23,不错,a,pos,2
666,23,喜欢,v,pos,3
669,23,品牌,n,pos,4
674,23,赞,v,pos,5
679,24,安装,v,pos,1
683,24,希望,v,pos,2
684,24,没什么,l,pos,3
689,25,完美,a,pos,1
692,25,不用,v,pos,2
693,25,天天,t,pos,3
695,25,太阳,ns,pos,4
698,26,售后,n,pos,1
701,26,预约,v,pos,2
702,26,安装,v,pos,3
707,27,质量,n,pos,1
708,27,不错,a,pos,2
710,27,暖水,n,pos,3
711,27,挺快,v,pos,4
714,27,支持,v,pos,5
715,28,不错,a,pos,1
717,28,物超所值,i,pos,2
718,29,凌晨,t,pos,1
719,29,一点,m,pos,2
720,29,下单,n,pos,3
722,29,点,m,pos,4
724,29,送到,v,pos,5
726,29,点,m,pos,6
727,29,员工,n,pos,7
728,29,上门,ns,pos,8
729,29,安装,v,pos,9
731,29,速度,n,pos,10
732,29,效率,n,pos,11
733,29,扛,v,pos,12
734,29,扛,v,pos,13
737,29,特别,d,pos,14
739,29,赞扬,v,pos,15
740,29,安装,v,pos,16
741,29,师傅,nr,pos,17
743,29,特别,d,pos,18
744,29,专业,n,pos,19
747,29,进门,v,pos,20
749,29,换上,v,pos,21
752,29,鞋套,n,pos,22
754,29,安装,v,pos,23
755,29,过程,n,pos,24
757,29,弄脏,n,pos,25
759,29,地方,n,pos,26
761,29,擦,v,pos,27
762,29,干净,a,pos,28
764,29,好评,v,pos,29
766,29,试用,vn,pos,30
770,29,量,n,pos,31
772,29,两三个,m,pos,32
773,29,人用,n,pos,33
775,29,合适,a,pos,34
777,30,东西,ns,pos,1
778,30,不错,a,pos,2
780,30,价格,n,pos,3
782,30,实惠,vn,pos,4
784,30,试,v,pos,5
788,30,加热,v,pos,6
789,30,很快,d,pos,7
792,30,省,n,pos,8
793,30,电,n,pos,9
795,30,老爸,n,pos,10
798,30,很大,a,pos,11
799,30,气,n,pos,12
801,30,遥控,vn,pos,13
803,30,灵敏,nr,pos,14
806,30,客服,n,pos,15
808,30,负责,v,pos,16
810,30,安装,v,pos,17
812,30,花,v,pos,18
817,30,规范,n,pos,19
819,30,强烈推荐,i,pos,20
826,31,十四号,m,pos,1
827,31,送到,v,pos,2
832,31,电话,n,pos,3
835,31,师傅,nr,pos,4
838,31,安装,v,pos,5
841,31,师傅,nr,pos,6
842,31,态度,n,pos,7
843,31,不错,a,pos,8
845,31,干活,a,pos,9
846,31,细致,a,pos,10
848,31,拆,v,pos,11
854,31,几年,m,pos,12
855,31,没擦,v,pos,13
857,31,墙面,n,pos,14
860,31,擦,v,pos,15
861,31,干净,a,pos,16
864,31,赞,v,pos,17
867,31,收费,n,pos,18
873,31,块钱,n,pos,19
876,31,装,v,pos,20
880,31,没用,v,pos,21
883,31,海尔,nrt,pos,22
887,31,四年,m,pos,23
890,31,漏水,n,pos,24
893,31,售后,n,pos,25
897,31,内胆,n,pos,26
898,31,漏,v,pos,27
901,31,修,v,pos,28
904,31,新,a,pos,29
908,31,保修,v,pos,30
909,31,八年,t,pos,31
911,31,总体,n,pos,32
912,31,不错,a,pos,33
915,31,好评,v,pos,34
921,32,满意,v,pos,1
923,32,售后,n,pos,2
925,32,认真负责,n,pos,3
928,32,货物,n,pos,4
929,32,到达,v,pos,5
930,32,目的地,n,pos,6
933,32,咨询,vn,pos,7
934,32,安装,v,pos,8
935,32,事宜,n,pos,9
937,32,指导,n,pos,10
938,32,安装,v,pos,11
939,32,人员,n,pos,12
940,32,到场,d,pos,13
946,32,厂家,n,pos,14
948,32,感觉,n,pos,15
950,32,不愧,a,pos,16
951,32,销量,n,pos,17
953,32,高,a,pos,18
955,32,安装,v,pos,19
956,32,人员,n,pos,20
957,32,讲解,v,pos,21
958,32,细致,a,pos,22
960,32,从头到尾,i,pos,23
961,32,满分,d,pos,24
962,32,好评,v,pos,25
964,33,质量,n,pos,1
969,33,卖家,n,pos,2
970,33,描述,v,pos,3
972,33,完全一致,i,pos,4
975,33,满意,v,pos,5
977,33,真的,d,pos,6
979,33,喜欢,v,pos,7
982,33,超出,v,pos,8
983,33,期望值,n,pos,9
986,33,发货,n,pos,10
987,33,速度,n,pos,11
992,33,包装,v,pos,12
994,33,仔细,ad,pos,13
996,33,严实,ad,pos,14
999,33,物流,n,pos,15
1000,33,公司,n,pos,16
1002,33,服务态度,n,pos,17
1006,33,运送,v,pos,18
1007,33,速度,n,pos,19
1008,33,很快,d,pos,20
1011,33,满意,v,pos,21
1015,33,购物,n,pos,22
1016,34,速度,n,pos,1
1019,34,服务,vn,pos,2
1022,34,安装,v,pos,3
1023,34,师傅,nr,pos,4
1028,34,悲,vg,pos,5
1029,34,催,v,pos,6
1032,34,号到,v,pos,7
1036,34,号,m,pos,8
1038,34,便宜,a,pos,9
1042,34,安装,v,pos,10
1043,34,材料费,n,pos,11
1044,34,花,v,pos,12
1048,35,收到,v,pos,1
1053,35,安装,v,pos,2
1056,35,挺好用,a,pos,3
1059,35,质量,n,pos,4
1060,35,不错,a,pos,5
1062,35,安装工人,l,pos,6
1063,35,服务态度,n,pos,7
1067,35,教给,vn,pos,8
1072,35,快递,v,pos,9
1073,35,挺快,v,pos,10
1077,35,满意,v,pos,11
1081,36,一段时间,l,pos,1
1084,36,总体,n,pos,2
1085,36,感觉,n,pos,3
1086,36,不错,a,pos,4
1088,36,保温,n,pos,5
1089,36,性能,n,pos,6
1097,36,遥控器,n,pos,7
1099,36,功能,n,pos,8
1101,36,小孩子,n,pos,9
1107,36,值得,v,pos,10
1108,36,推荐,v,pos,11
1110,37,非常感谢,i,pos,1
1111,37,商城,ns,pos,2
1112,37,给予,v,pos,3
1114,37,优质,n,pos,4
1116,37,服务,vn,pos,5
1119,37,仓储,j,pos,6
1120,37,管理,vn,pos,7
1122,37,物流配送,n,pos,8
1128,37,做,v,pos,9
1134,37,送货,v,pos,10
1137,37,配送,v,pos,11
1138,37,员,q,pos,12
1142,37,热情,n,pos,13
1144,37,有时候,l,pos,14
1147,37,收件,n,pos,15
1152,37,安排,v,pos,16
1153,37,时间,n,pos,17
1155,37,配送,v,pos,18
1158,37,商城,ns,pos,19
1160,37,售后,n,pos,20
1161,37,管理,vn,pos,21
1169,37,解,v,pos,22
1170,37,客户,n,pos,23
1171,37,忧患,n,pos,24
1173,37,排除万难,i,pos,25
1175,37,给予,v,pos,26
1180,37,购物,n,pos,27
1181,37,体验,n,pos,28
1254,38,国庆,t,pos,1
1255,38,活动,vn,pos,2
1261,38,农村,n,pos,3
1263,38,送货上门,l,pos,4
1265,38,送到,v,pos,5
1267,38,装上,v,pos,6
1270,38,试用,vn,pos,7
1273,38,很好,d,pos,8
1276,38,烧水,n,pos,9
1278,38,水量,n,pos,10
1279,38,足,a,pos,11
1280,38,压力,n,pos,12
1283,38,使用方便,l,pos,13
1286,38,遥控器,n,pos,14
1287,38,操作,v,pos,15
1291,39,速度,n,pos,1
1295,39,第一次,m,pos,2
1297,39,订单,n,pos,3
1300,39,点,q,pos,4
1302,39,事故,n,pos,5
1304,39,地址,n,pos,6
1305,39,选错,v,pos,7
1306,39,区域,n,pos,8
1309,39,幸好,a,pos,9
1310,39,客服,n,pos,10
1311,39,帮忙,v,pos,11
1315,39,活动,vn,pos,12
1316,39,价格比,n,pos,13
1317,39,平时,t,pos,14
1318,39,优惠,vn,pos,15
1321,39,安装,v,pos,16
1329,39,热水,n,pos,17
1331,39,很快,d,pos,18
1333,39,功耗,n,pos,19
1337,39,牌子,n,pos,20
1343,39,安装,v,pos,21
1344,39,师傅,nr,pos,22
1347,39,安装,v,pos,23
1348,39,材料,n,pos,24
1350,39,报表,n,pos,25
1354,39,报表,n,pos,26
1355,39,打勾,nz,pos,27
1358,39,完美,a,pos,28
1362,40,每次,r,pos,1
1364,40,喜欢,v,pos,2
1368,40,东西,ns,pos,3
1371,40,几天,m,pos,4
1374,40,几天,m,pos,5
1377,40,特别,d,pos,6
1378,40,放心,v,pos,7
1380,40,电,n,pos,8
1386,40,品牌,n,pos,9
1388,40,简单,a,pos,10
1389,40,漂亮,a,pos,11
1392,40,喜欢,v,pos,12
1393,40,侧面,f,pos,13
1397,40,安装,v,pos,14
1399,40,主动,b,pos,15
1400,40,打电话,l,pos,16
1401,40,问,v,pos,17
1404,40,价格,n,pos,18
1406,40,明,a,pos,19
1409,40,我家,r,pos,20
1412,40,旧,a,pos,21
1414,40,拆下来,v,pos,22
1415,40,换,v,pos,23
1417,40,新,a,pos,24
1420,40,安装,v,pos,25
1421,40,师傅,nr,pos,26
1422,40,很快,d,pos,27
1424,40,弄,v,pos,28
1428,40,态度,n,pos,29
1430,40,手脚,n,pos,30
1431,40,麻利,nr,pos,31
1433,40,花,v,pos,32
1436,40,块钱,n,pos,33
1438,40,拆,v,pos,34
1439,40,旧机,n,pos,35
1443,40,管子,n,pos,36
1445,40,钱,n,pos,37
1452,40,仔细,ad,pos,38
1453,40,算,v,pos,39
1455,40,反正,d,pos,40
1457,40,效果,n,pos,41
1460,40,无所谓,l,pos,42
1465,40,旧,a,pos,43
1467,40,电用,n,pos,44
1469,40,年,m,pos,45
1474,40,没坏,v,pos,46
1478,40,品牌,n,pos,47
1481,40,没了,v,pos,48
1483,40,希望,v,pos,49
1485,40,电,n,pos,50
1488,40,经久耐用,l,pos,51
1493,41,满意,v,pos,1
1495,41,送货,v,pos,2
1496,41,师傅,nr,pos,3
1501,41,搬到,v,pos,4
1502,41,楼,n,pos,5
1504,41,安装,v,pos,6
1505,41,师傅,nr,pos,7
1507,41,不错,a,pos,8
1509,42,昨天,t,pos,1
1511,42,装,v,pos,2
1514,42,第一次,m,pos,3
1517,42,烧水,n,pos,4
1518,42,很快,d,pos,5
1520,42,性价比,n,pos,6
1521,42,超高,v,pos,7
1526,43,高端,n,pos,1
1527,43,大气,n,pos,2
1528,43,上档次,b,pos,3
1543,44,下单,n,pos,1
1544,44,安装,v,pos,2
1547,44,正品,n,pos,3
1548,44,值得,v,pos,4
1549,44,推荐,v,pos,5
1550,45,期盼,v,pos,1
1551,45,之中,r,pos,2
1553,45,终于,d,pos,3
1556,45,心爱,n,pos,4
1558,45,东东,ns,pos,5
1560,45,谢谢,nr,pos,6
1562,46,产品,n,pos,1
1566,46,师傅,nr,pos,2
1567,46,安装,v,pos,3
1570,46,负责,v,pos,4
1575,47,还防,v,pos,1
1576,47,干烧,v,pos,2
1577,48,外观,n,pos,1
1578,48,时尚,n,pos,2
1579,48,简约,d,pos,3
1581,48,白色,n,pos,4
1582,48,显,v,pos,5
1583,48,大气,n,pos,6
1585,48,一键,n,pos,7
1586,48,快速,d,pos,8
1587,48,升温,v,pos,9
1589,48,省,n,pos,10
1590,48,时,ng,pos,11
1592,48,一键,n,pos,12
1593,48,中温,n,pos,13
1594,48,保温,n,pos,14
1596,48,省力,n,pos,15
1598,48,远红外,l,pos,16
1599,48,遥控,vn,pos,17
1600,48,控制,v,pos,18
1602,48,便捷,a,pos,19
1604,48,液晶,n,pos,20
1605,48,大屏,n,pos,21
1607,48,一目了然,i,pos,22
1609,48,安装,v,pos,23
1610,48,师傅,nr,pos,24
1611,48,细心,n,pos,25
1612,48,周到,v,pos,26
1614,48,服务,vn,pos,27
1619,48,温暖,an,pos,28
1622,48,送,v,pos,29
1625,48,小花,n,pos,30
1626,48,洒,v,pos,31
1628,48,正好,a,pos,32
1629,48,我家,r,pos,33
1631,48,坏,a,pos,34
1636,48,无微不至,i,pos,35
1640,48,品牌,n,pos,36
1642,48,值得,v,pos,37
1643,48,信赖,n,pos,38
1645,49,线,n,pos,1
1647,49,拍下,v,pos,2
1648,49,产品,n,pos,3
1651,49,发货,n,pos,4
1652,49,速度,n,pos,5
1653,49,很快,d,pos,6
1655,49,预约,v,pos,7
1656,49,上门,ns,pos,8
1657,49,安装,v,pos,9
1659,49,安装,v,pos,10
1660,49,人员,n,pos,11
1661,49,业务,n,pos,12
1662,49,熟练,a,pos,13
1664,49,素质,n,pos,14
1666,49,高,a,pos,15
1671,49,牌子,n,pos,16
1672,49,值得,v,pos,17
1673,49,信赖,n,pos,18
1675,49,加热,v,pos,19
1678,49,升水,v,pos,20
1679,49,够,zg,pos,21
1682,49,两个,m,pos,22
1683,49,人用,n,pos,23
1686,49,愉快,a,pos,24
1688,49,购物,n,pos,25
1689,49,体验,n,pos,26
1691,49,性价比,n,pos,27
1692,49,极高,a,pos,28
1694,49,一款,m,pos,29
1696,50,产品,n,pos,1
1697,50,没得说,l,pos,2
1704,50,包括,v,pos,3
1705,50,洗衣机,n,pos,4
1708,50,安装,v,pos,5
1710,50,师傅,nr,pos,6
1713,50,装,v,pos,7
1714,50,逼,v,pos,8
1717,50,免费,vn,pos,9
1718,50,安装,v,pos,10
1725,50,材料,n,pos,11
1728,50,装完,v,pos,12
1732,50,自带,n,pos,13
1734,50,几个,m,pos,14
1735,50,接头,v,pos,15
1738,50,收,v,pos,16
1740,50,我块,r,pos,17
1742,50,材料费,n,pos,18
1744,50,变着法,l,pos,19
1746,50,收费,n,pos,20
1749,51,购物,n,pos,1
1751,51,快递,v,pos,2
1754,51,力,n,pos,3
1757,51,购物,n,pos,4
1758,51,快递,v,pos,5
1761,51,力,n,pos,6
1765,51,理解,v,pos,7
1768,51,送货,v,pos,8
1769,51,量,n,pos,9
1770,51,大师傅,nr,pos,10
1772,51,忙不过来,l,pos,11
1777,51,宝贝,nr,pos,12
1781,51,留心,v,pos,13
1788,51,客服,n,pos,14
1789,51,人员,n,pos,15
1792,51,告知,v,pos,16
1793,51,算,v,pos,17
1795,51,倒霉,a,pos,18
1801,51,安装,v,pos,19
1807,51,安装,v,pos,20
1808,51,师傅,nr,pos,21
1809,51,很好,d,pos,22
1813,51,顾客,nr,pos,23
1816,51,安装,v,pos,24
1817,51,好看,v,pos,25
1824,51,周到,v,pos,26
1828,51,关心,n,pos,27
1830,51,收费,n,pos,28
1832,51,两个,m,pos,29
1833,51,脚法,n,pos,30
1835,51,管子,n,pos,31
1836,51,收费,n,pos,32
1838,51,满意,v,pos,33
1841,51,购物,n,pos,34
1843,51,下次,t,pos,35
1846,51,用后感,n,pos,36
1852,52,品牌,n,pos,1
1854,52,值得,v,pos,2
1855,52,信赖,n,pos,3
1859,52,就用,v,pos,4
1863,52,新房子,n,pos,5
1864,52,装修,v,pos,6
1868,52,售后,n,pos,7
1870,52,特别,d,pos,8
1871,52,正规,a,pos,9
1873,52,安装,v,pos,10
1874,52,人员,n,pos,11
1875,52,进门,v,pos,12
1876,52,穿鞋,n,pos,13
1877,52,套,q,pos,14
1880,52,耐心,a,pos,15
1881,52,谅解,v,pos,16
1884,52,贴心,v,pos,17
1887,52,满意,v,pos,18
1890,52,购物,n,pos,19
1892,53,购买,v,pos,1
1893,53,自营,vn,pos,2
1894,53,商品,n,pos,3
1896,53,拥有,v,pos,4
1897,53,七天,t,pos,5
1899,53,理由,n,pos,6
1900,53,退换货,n,pos,7
1902,53,消费者,n,pos,8
1904,53,无忧,v,pos,9
1905,53,购买,v,pos,10
1910,53,送货,v,pos,11
1916,53,电,n,pos,12
1917,53,电子,n,pos,13
1919,53,百货,n,pos,14
1920,53,厂品,n,pos,15
1922,53,购买,v,pos,16
1924,53,信赖,n,pos,17
1925,53,自营,vn,pos,18
1927,54,家里,s,pos,1
1930,54,是用,v,pos,2
1935,54,好多年,m,pos,3
1937,54,换,v,pos,4
1941,54,不错,a,pos,5
1946,55,升,zg,pos,1
1947,55,预约,v,pos,2
1948,55,洗浴,v,pos,3
1950,55,无线,n,pos,4
1951,55,遥控,vn,pos,5
1953,55,电,n,pos,6
1960,55,不错,a,pos,7
1962,55,送货,v,pos,8
1965,55,安装,v,pos,9
1969,55,不错,a,pos,10
1971,55,家里人,nrt,pos,11
1972,55,满意,v,pos,12
1979,55,升,zg,pos,13
1980,55,预约,v,pos,14
1981,55,洗浴,v,pos,15
1983,55,无线,n,pos,16
1984,55,遥控,vn,pos,17
1986,55,电,n,pos,18
1992,55,不错,a,pos,19
1995,55,行,zg,pos,20
1998,55,价格,n,pos,21
1999,55,总,b,pos,22
2000,55,波动,vn,pos,23
2002,56,很好,a,pos,1
2005,56,包装,v,pos,2
2006,56,完整,a,pos,3
2008,56,外形,n,pos,4
2009,56,大气,n,pos,5
2010,56,简洁,a,pos,6
2013,56,卫生间,n,pos,7
2015,56,颜色,n,pos,8
2016,56,搭配,v,pos,9
2020,56,热水,n,pos,10
2021,56,速度,n,pos,11
2024,56,大容量,n,pos,12
2025,56,足够,v,pos,13
2026,56,一家,m,pos,14
2027,56,三口,m,pos,15
2031,56,真的,d,pos,16
2033,56,太号,n,pos,17
2034,56,太好了,l,pos,18
2037,56,欧,ns,pos,19
2039,56,天,q,pos,20
2043,56,不敢相信,i,pos,21
2047,56,日子,n,pos,22
2050,56,坐上,v,pos,23
2052,56,幸福,a,pos,24
2054,56,列车,n,pos,25
2056,56,奔,zg,pos,26
2058,56,幸福,a,pos,27
2060,56,海洋,ns,pos,28
2062,56,哈哈哈哈,o,pos,29
2063,56,哈哈哈,o,pos,30
2064,56,哈哈哈,o,pos,31
2068,57,师傅,nr,pos,1
2069,57,安装,v,pos,2
2072,57,服务态度,n,pos,3
2075,57,不错,a,pos,4
2078,57,品牌,n,pos,5
2083,57,送货上门,l,pos,6
2084,57,速度,n,pos,7
2085,57,很快,d,pos,8
2088,58,品牌,n,pos,1
2089,58,值得,v,pos,2
2090,58,信赖,n,pos,3
2094,58,第二回,m,pos,4
2095,58,购买,v,pos,5
2098,58,加热,v,pos,6
2099,58,速度,n,pos,7
2103,58,洗澡,v,pos,8
2104,58,不用,v,pos,9
2107,58,送货,v,pos,10
2110,58,安装,v,pos,11
2114,58,安装,v,pos,12
2115,58,师傅,nr,pos,13
2118,58,气,n,pos,14
2120,58,讲解,v,pos,15
2122,58,到位,v,pos,16
2125,58,师傅,nr,pos,17
2126,58,还给,v,pos,18
2127,58,收拾,v,pos,19
2128,58,卫生,an,pos,20
2132,58,真的,d,pos,21
2134,58,满意,v,pos,22
2136,58,不的,v,pos,23
2140,58,满分,d,pos,24
2144,59,购买,v,pos,1
2145,59,自营,vn,pos,2
2146,59,商品,n,pos,3
2148,59,拥有,v,pos,4
2149,59,天无,i,pos,5
2150,59,理由,n,pos,6
2151,59,退换货,n,pos,7
2153,59,消费者,n,pos,8
2155,59,无忧,v,pos,9
2156,59,购买,v,pos,10
2158,59,关键,n,pos,11
2161,59,入门,ns,pos,12
2162,59,门槛,n,pos,13
2163,59,质量,n,pos,14
2166,59,高,a,pos,15
2171,59,电子,n,pos,16
2173,59,百货,n,pos,17
2174,59,产品,n,pos,18
2177,59,购买,v,pos,19
2180,59,自营,vn,pos,20
2182,59,产品,n,pos,21
2185,59,信赖,n,pos,22
2186,59,自营,vn,pos,23
2187,60,确实,ad,pos,1
2188,60,不错,a,pos,2
2190,60,收到,v,pos,3
2192,60,安装,v,pos,4
2197,60,水温,n,pos,5
2199,60,不错,a,pos,6
2201,60,冬天,t,pos,7
2202,60,洗澡,v,pos,8
2203,60,不用,v,pos,9
2204,60,愁,v,pos,10
2207,61,不错,a,pos,1
2208,61,太棒了,nr,pos,2
2210,61,一级,m,pos,3
2211,61,变频,vn,pos,4
2212,61,出热,v,pos,5
2213,61,水量,n,pos,6
2215,61,价格,n,pos,7
2216,61,合适,a,pos,8
2219,62,牌子,n,pos,1
2223,62,买回来,l,pos,2
2226,62,值得,v,pos,3
2228,62,撇开,v,pos,4
2229,62,价格,n,pos,5
2232,62,牌子,n,pos,6
2233,62,摆在,v,pos,7
2235,62,就让,v,pos,8
2237,62,放心,v,pos,9
2240,62,收到,v,pos,10
2242,62,第一,m,pos,11
2243,62,感觉,n,pos,12
2248,62,升,v,pos,13
2250,62,容积,n,pos,14
2251,62,足够,v,pos,15
2252,62,三个,m,pos,16
2254,62,洗,v,pos,17
2256,62,试,v,pos,18
2261,62,不错,a,pos,19
2265,62,满意,v,pos,20
2268,62,购物,n,pos,21
2270,62,五星,nz,pos,22
2271,62,好评,v,pos,23
2272,63,收到,v,pos,1
2275,63,外观,n,pos,2
2276,63,颜值,n,pos,3
2278,63,高,a,pos,4
2280,63,简洁,a,pos,5
